OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
1859,1,1859,551204,5512.04,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,987725.9805,4549.070675
1860,1,1860,551300,5513,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,2228626.543,6121.884876
1861,1,1861,551401,5514.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,1054972.375,4285.857686
1862,1,1862,551402,5514.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,1683734.785,5110.338866
1863,1,1863,551501,5515.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,2148268.23,6750.1557
1864,1,1864,551502,5515.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,1603325.273,6766.066216
1865,1,1865,551700,5517,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,1888403.023,5826.23333
1866,1,1866,551801,5518.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,1660732.914,5340.969575
1867,1,1867,551802,5518.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,1585189.582,5262.085432
1868,1,1868,551900,5519,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,2284504.758,6382.247347
1869,1,1869,552001,5520.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,1168591.496,4554.29775
1870,1,1870,552002,5520.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,1028638.375,4255.676057
1871,1,1871,552100,5521,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,2127650.328,6440.90926
1872,1,1872,552200,5522,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,2459783.422,8204.436502
1873,1,1873,552301,5523.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,1818408.176,6390.62991
1874,1,1874,552302,5523.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,1399439.758,5539.280726
1875,1,1875,552400,5524,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,1356665.25,5730.367403
1876,1,1876,552601,5526.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,1035030.176,4083.899032
1877,1,1877,552602,5526.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,1999968.352,6113.443186
1878,1,1878,552700,5527,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,2001540.008,6061.683101
1879,1,1879,552800,5528,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,1882664.426,5828.887888
1880,1,1880,552900,5529,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,1905978.832,5880.890073
1881,1,1881,553000,5530,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,NORWALK,,INCORPORATED CITY,10,Gateway Planning Area,1848604.965,6005.212264
